Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
2-Octanol,123-96-6,SPB50,107.11,29.065,78.061,0.001,Karolat2010,alcohol,,
2-Nonanol,628-99-9,SPB50,124.17,29.919,81.326,0.001,Karolat2010,alcohol,,
5-Nonanol,623-93-8,SPB50,121.56,29.894,81.315,0.001,Karolat2010,alcohol,,
5-Decanol,5205-34-5,SPB50,137.35,30.558,84.635,0.001,Karolat2010,alcohol,,
2-Octanone,111-13-7,SPB50,110.7,29.424,76.493,0.001,Karolat2010,alkanones,ketone,
2-Decanone,693-54-9,SPB50,143.13,30.958,85.182,0.001,Karolat2010,alkanones,ketone,
Heptane,142-82-5,Supelcowax,1.2684,23.425,56.276,0.001,Karolat2010,alkanes,alkane,
Octane,111-65-9,Supelcowax,24.701,24.904,65.895,0.001,Karolat2010,alkanes,alkane,
Nonane,111-84-2,Supelcowax,46.162,26.346,67.718,0.001,Karolat2010,alkanes,alkane,
Decane,124-18-5,Supelcowax,66.037,27.525,74.535,0.001,Karolat2010,Grob,alkane,alkanes
Undecane,1120-21-4,Supelcowax,84.457,28.637,75.94,0.001,Karolat2010,Grob,alkane,alkanes
Dodecane,112-40-3,Supelcowax,101.69,29.612,81.591,0.001,Karolat2010,alkanes,alkane,
Tridecane,629-50-5,Supelcowax,117.84,30.509,87.418,0.001,Karolat2010,alkanes,alkane,
Tetradecane,629-59-4,Supelcowax,133.06,31.338,92.828,0.001,Karolat2010,alkanes,alkane,
Pentadecane,629-62-9,Supelcowax,147.46,32.121,98.548,0.001,Karolat2010,alkanes,alkane,
1-Octanol,111-87-5,Supelcowax,155.39,32.316,97.259,0.001,Karolat2010,Grob,alcohol,alcohols
1-Nonanol,143-08-8,Supelcowax,169.03,33.106,102.04,0.001,Karolat2010,alcohol,alcohols,
2-Octanol,123-96-6,Supelcowax,135.16,30.774,95.586,0.001,Karolat2010,alcohol,,
2-Nonanol,628-99-9,Supelcowax,149.45,31.6,102.91,0.001,Karolat2010,alcohol,,
5-Nonanol,623-93-8,Supelcowax,143.65,31.211,100.04,0.001,Karolat2010,alcohol,,
5-Decanol,5205-34-5,Supelcowax,157.24,31.981,107.12,0.001,Karolat2010,alcohol,,
2-Octanone,111-13-7,Supelcowax,118.75,32.265,70.918,0.001,Karolat2010,alkanones,ketone,
2-Decanone,693-54-9,Supelcowax,150.1,33.907,78.097,0.001,Karolat2010,alkanones,ketone,
Nonane,111-84-2,FS5ms,98.04,30.17,89.34,0.001,Leppert2020b,alkanes,alkane,
Decane,124-18-5,FS5ms,118.09,32.24,112.49,0.001,Leppert2020b,Grob,alkane,alkanes
Undecane,1120-21-4,FS5ms,137.07,33.71,116.04,0.001,Leppert2020b,Grob,alkane,alkanes
Dodecane,112-40-3,FS5ms,154.78,34.92,121.44,0.001,Leppert2020b,alkanes,alkane,
Tridecane,629-50-5,FS5ms,171.32,35.93,125.62,0.001,Leppert2020b,alkanes,alkane,
Tetradecane,629-59-4,FS5ms,186.83,36.76,126.76,0.001,Leppert2020b,alkanes,alkane,
Pentadecane,629-62-9,FS5ms,201.25,37.39,129.62,0.001,Leppert2020b,alkanes,alkane,
Hexadecane,544-76-3,FS5ms,215.1,38.46,142.18,0.001,Leppert2020b,alkanes,alkane,
Heptadecane,629-78-7,FS5ms,227.91,38.95,145.36,0.001,Leppert2020b,alkanes,alkane,
Octadecane,593-45-3,FS5ms,240.1,39.58,153.29,0.001,Leppert2020b,alkanes,alkane,
Nonadecane,629-92-5,FS5ms,251.8,40.21,159.47,0.001,Leppert2020b,alkanes,alkane,
Eicosane,112-95-8,FS5ms,262.81,40.67,164.99,0.001,Leppert2020b,alkanes,alkane,
Heneicosane,629-94-7,FS5ms,273.39,41.43,179.47,0.001,Leppert2020b,alkanes,alkane,
Docosane,629-97-0,FS5ms,283.55,41.89,183.35,0.001,Leppert2020b,alkanes,alkane,
Tricosane,638-67-5,FS5ms,293.11,42.25,188.99,0.001,Leppert2020b,alkanes,alkane,
Tetracosane,646-31-1,FS5ms,302.05,42.21,188.53,0.001,Leppert2020b,alkanes,alkane,
Pentacosane,629-99-2,FS5ms,310.67,42.26,189.51,0.001,Leppert2020b,alkanes,alkane,
Hexacosane,630-01-3,FS5ms,320.42,44.16,216.77,0.001,Leppert2020b,alkanes,alkane,
Heptacosane,593-49-7,FS5ms,326.62,41.9,184.17,0.001,Leppert2020b,alkane,alkanes,
Octacosane,630-02-4,FS5ms,334.19,41.82,183.91,0.001,Leppert2020b,alkanes,alkane,
Nonacosane,630-03-5,FS5ms,341.4,41.67,183.07,0.001,Leppert2020b,alkane,alkanes,
Triacontane,638-68-6,FS5ms,348.39,41.57,183.28,0.001,Leppert2020b,alkanes,alkane,
2-Methylhexane,591-76-4,SLB5ms,36.575,25.127,58.029,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,94.769,28.386,69.359,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,SLB5ms,123.05,29.606,83.934,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,SLB5ms,66.428,26.445,75.78,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,SLB5ms,36.388,24.83,60.547,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,94.302,28.288,72.066,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,SLB5ms,123.31,29.621,90.583,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,SLB5ms,66.89,26.261,77.467,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,SLB5ms,36.233,25.32,52.761,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,SLB5ms,94.636,28.426,71.292,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,SLB5ms,123.12,29.682,85.695,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,SLB5ms,66.162,26.85,66.81,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,SPB50,19.536,24.597,35.269,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,77.565,27.738,62.068,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,SPB50,121.95,30.071,77.301,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,SPB50,68.202,27.398,65.02,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,SPB50,19.165,24.824,30.319,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,77.821,27.666,55.746,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,SPB50,122.07,29.864,85.395,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,SPB50,69.071,26.719,71.925,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,SPB50,19.056,24.449,48.061,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,SPB50,77.4,27.756,61.772,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,SPB50,121.96,30.174,83.344,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,SPB50,68.413,27.213,74.377,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,Supelcowax,-6.5593,20.9,101.33,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,Supelcowax,50.213,27.024,46.771,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,Supelcowax,144.14,31.348,96.592,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,Supelcowax,100.39,28.8,86.006,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,Supelcowax,-5.6982,20.92,92.391,0.001,McGinitie2011,alkane,,
