Name,CAS,Phase,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,phi0,N,R²,χ²,χ̄²,Source,Cat_1,Cat_2,Cat_3
Methyl hexanoate,106-70-7,Rxi17SilMS,-85.289,6.4442,8922.9,339.41,11.233,0.93485,89.375,0.096001,27.095,0.10077,93.397,7.7728,-40330.0,151.51,-65.339,0.41481,-40272.0,153.11,-65.178,0.41751,90.0,0.001,9.0,0.99996,0.00032564,5.4274e-5,Brehmer2022,FAME,FAMEs,
Methyl octanoate,111-11-5,Rxi17SilMS,-93.826,3.5714,10335.0,202.87,12.247,0.51151,123.03,0.085704,28.624,0.046109,101.83,4.2529,-45592.0,76.045,-69.171,0.18704,-48955.0,161.04,-78.034,0.41668,90.0,0.001,14.0,0.99998,0.00056538,5.1398e-5,Brehmer2022,FAME,FAMEs,
Methyl decanoate,110-42-9,Rxi17SilMS,-107.23,2.2175,12006.0,134.09,13.968,0.31434,152.75,0.046403,29.945,0.036179,116.14,2.6136,-50365.0,61.831,-72.346,0.14345,-57652.0,175.7,-90.857,0.44115,90.0,0.001,14.0,0.99999,0.00019253,1.7503e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl undecanoate,1731-86-8,Rxi17SilMS,-111.37,3.0025,12698.0,186.67,14.461,0.42372,166.41,0.0467,30.466,0.059719,120.23,3.523,-52730.0,103.97,-74.053,0.23549,-61917.0,288.84,-97.012,0.7131,90.0,0.001,14.0,0.99999,0.00022362,2.0329e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl laurate,111-82-0,Rxi17SilMS,-103.18,4.3252,12641.0,275.79,13.209,0.60789,179.35,0.038831,30.724,0.091765,109.82,5.0543,-55410.0,165.77,-76.545,0.36589,-65223.0,481.16,-100.7,1.1706,90.0,0.001,12.0,0.99999,0.00010095,1.1217e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl tridecanoate,1731-88-0,Rxi17SilMS,-99.659,4.607,12833.0,300.44,12.63,0.64508,191.64,0.032499,31.025,0.085528,105.01,5.3635,-57894.0,159.81,-78.653,0.3435,-68567.0,568.12,-104.57,1.3674,90.0,0.001,12.0,0.99999,6.1919e-5,6.8798e-6,Brehmer2022,FAME,FAMEs,
Methyl myristate,124-10-7,Rxi17SilMS,-100.03,6.0971,13262.0,406.51,12.604,0.85076,203.25,0.057848,31.272,0.13472,104.79,7.0736,-60342.0,260.38,-80.756,0.5459,-72210.0,842.45,-109.2,1.9963,90.0,0.001,11.0,0.99999,4.8459e-5,6.0574e-6,Brehmer2022,FAME,FAMEs,
Methyl myristoleate,92857-33-5,Rxi17SilMS,-87.183,7.3658,12422.0,492.24,10.817,1.0272,205.39,0.044844,31.606,0.11405,89.935,8.5404,-60242.0,217.68,-79.98,0.45444,-70619.0,1009.2,-104.79,2.3999,90.0,0.001,13.0,0.99998,0.00013037,1.3037e-5,Brehmer2022,FAME,,
Methyl pentadecanoate,7132-64-1,Rxi17SilMS,-104.54,5.0151,13956.0,341.26,13.157,0.69755,214.28,0.061079,31.498,0.12163,109.4,5.7997,-62716.0,242.68,-82.758,0.4971,-76311.0,760.71,-114.96,1.7781,90.0,0.001,14.0,0.99999,0.00012484,1.1349e-5,Brehmer2022,FAME,FAMEs,
Methyl cis-10-pentadecenoate,90176-52-6,Rxi17SilMS,-91.606,6.056,13090.0,412.75,11.365,0.84185,216.4,0.041269,31.841,0.095986,94.493,6.9996,-62580.0,188.94,-81.924,0.3855,-74523.0,904.73,-110.15,2.1258,90.0,0.001,13.0,0.99999,8.4878e-5,8.4878e-6,Brehmer2022,FAME,,
Methyl palmitate,112-39-0,Rxi17SilMS,-106.46,7.1153,14472.0,493.56,13.351,0.98672,224.77,0.10846,31.684,0.18976,111.01,8.204,-65059.0,390.68,-84.754,0.78307,-80019.0,1173.0,-119.79,2.7055,90.0,0.001,13.0,0.99998,0.0001203,1.203e-5,Brehmer2022,FAME,FAMEs,
Methyl palmitoleate,10030-74-7,Rxi17SilMS,-91.546,6.0945,13419.0,422.3,11.297,0.84492,225.99,0.040545,32.023,0.08945,93.925,7.025,-64687.0,180.99,-83.689,0.36215,-77460.0,972.39,-113.56,2.2637,90.0,0.001,12.0,0.99999,6.7593e-5,7.5104e-6,Brehmer2022,FAME,,
Methyl heptadecanoate,1731-92-6,Rxi17SilMS,-113.73,6.2924,15329.0,444.06,14.297,0.87019,234.86,0.097371,31.996,0.16585,118.87,7.2351,-67064.0,348.58,-86.105,0.68476,-84283.0,1104.9,-126.01,2.5238,90.0,0.001,13.0,0.99999,9.0687e-5,9.0687e-6,Brehmer2022,FAME,FAMEs,
cis-10-Heptadecenoic acid methyl ester,75190-82-8,Rxi17SilMS,-103.99,3.8947,14623.0,274.96,12.963,0.53844,236.03,0.047036,32.316,0.083878,107.78,4.4769,-66705.0,173.58,-85.097,0.34025,-82444.0,676.52,-121.52,1.551,90.0,0.001,15.0,0.99999,0.00011649,9.7075e-6,Brehmer2022,FAME,,
Methyl stearate,112-61-8,Rxi17SilMS,-117.83,5.17,15982.0,370.43,14.797,0.71314,244.42,0.070673,32.185,0.12054,123.03,5.9294,-69201.0,259.85,-87.796,0.50106,-88200.0,951.98,-131.39,2.1601,90.0,0.001,13.0,0.99999,0.00011051,1.1051e-5,Brehmer2022,FAME,FAMEs,
trans-9-Elaidic acid methyl ester,1937-62-8,Rxi17SilMS,-116.04,4.592,15757.0,329.57,14.585,0.63326,245.35,0.062544,32.806,0.11312,121.27,5.2652,-68135.0,235.51,-85.5,0.45339,-86973.0,851.34,-128.69,1.9292,90.0,0.001,14.0,0.99999,9.5967e-5,8.7243e-6,Brehmer2022,FAME,,
cis-9-Oleic acid methyl ester,112-62-9,Rxi17SilMS,-108.87,5.6545,15356.0,405.62,13.562,0.77979,245.31,0.068333,32.29,0.12682,112.76,6.4835,-69214.0,272.46,-87.592,0.52464,-86727.0,1043.3,-127.74,2.3674,90.0,0.001,13.0,0.99999,0.0001071,1.071e-5,Brehmer2022,FAME,,
Methyl linolelaidate,2566-97-4,Rxi17SilMS,-95.173,4.038,14366.0,290.26,11.685,0.5566,247.2,0.036992,32.679,0.075299,97.157,4.6278,-68891.0,159.04,-86.485,0.30521,-84164.0,744.72,-121.43,1.6923,90.0,0.001,13.0,1.0,5.4118e-5,5.4118e-6,Brehmer2022,FAME,,
Methyl linoleate,112-63-0,Rxi17SilMS,-102.38,6.7832,15019.0,488.45,12.639,0.93487,247.66,0.087836,32.153,0.14831,105.09,7.7729,-70140.0,324.4,-88.768,0.62163,-86708.0,1267.9,-126.66,2.871,90.0,0.001,13.0,0.99998,0.00028417,2.8417e-5,Brehmer2022,FAME,,
Methyl arachidate,1120-28-1,Rxi17SilMS,-112.84,4.8062,16386.0,354.6,13.967,0.65988,262.19,0.063664,32.166,0.11104,116.13,5.4865,-74079.0,256.33,-92.47,0.47798,-94074.0,979.02,-137.54,2.1823,90.0,0.001,14.0,0.99999,0.00013308,1.2098e-5,Brehmer2022,FAME,FAMEs,
Methyl gamma linolenate,132029-16-4,Rxi17SilMS,-82.504,4.8221,13469.0,347.11,9.9386,0.66455,247.86,0.051896,32.74,0.096571,82.634,5.5254,-68936.0,203.8,-86.403,0.39049,-81980.0,895.81,-116.23,2.0324,90.0,0.001,12.0,0.99999,6.6267e-5,7.363e-6,Brehmer2022,FAME,,
Methyl cis-11-eicosenoate,2390-09-2,Rxi17SilMS,-115.04,13.117,16438.0,968.08,14.306,1.8005,263.07,0.12273,32.798,0.26398,118.95,14.97,-72891.0,587.61,-90.025,1.0945,-93477.0,2657.0,-136.38,5.9365,90.0,0.001,10.0,0.99997,0.00027714,3.9592e-5,Brehmer2022,FAME,,
Methyl alpha linolenate,301-00-8,Rxi17SilMS,-103.02,5.2792,14974.0,381.91,12.767,0.72708,250.18,0.074668,33.027,0.13001,106.15,6.0453,-68946.0,272.12,-85.837,0.51895,-85949.0,1006.0,-124.62,2.2692,90.0,0.001,15.0,0.99999,0.00021609,1.8007e-5,Brehmer2022,FAME,,
Methyl heneicosanoate,6064-90-0,Rxi17SilMS,-113.24,5.9098,16767.0,441.77,13.96,0.80968,270.58,0.069132,32.218,0.12798,116.07,6.7321,-76297.0,303.69,-94.413,0.55768,-97257.0,1253.2,-141.26,2.7741,90.0,0.001,13.0,0.99999,0.00015766,1.5766e-5,Brehmer2022,FAME,FAMEs,
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,Rxi17SilMS,-96.574,8.006,15166.0,593.13,11.755,1.0984,265.12,0.081899,32.778,0.17558,97.736,9.1326,-73493.0,394.31,-90.629,0.73167,-90608.0,1647.3,-129.09,3.6678,90.0,0.001,10.0,0.99999,0.00010442,1.4917e-5,Brehmer2022,FAME,,
Methyl behenate,929-77-1,Rxi17SilMS,-111.21,6.4891,16972.0,491.41,13.618,0.88726,278.61,0.082093,32.186,0.1447,113.23,7.3771,-78643.0,354.32,-96.624,0.64112,-99999.0,1436.0,-143.99,3.1519,90.0,0.001,12.0,0.99999,0.00022735,2.5261e-5,Brehmer2022,FAME,FAMEs,
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,Rxi17SilMS,-101.81,5.9075,15461.0,438.56,12.504,0.81032,265.89,0.08267,33.318,0.14963,103.97,6.7373,-72511.0,326.4,-88.61,0.60446,-90797.0,1229.3,-129.67,2.729,90.0,0.001,11.0,0.99999,0.00011536,1.4419e-5,Brehmer2022,FAME,,
Methyl erucate,1120-34-9,Rxi17SilMS,-155.11,31.077,20096.0,2356.1,19.679,4.2482,279.54,0.36325,33.134,0.69984,163.62,35.321,-76653.0,1622.1,-92.781,2.9307,-107670.0,6889.8,-161.5,15.122,90.0,0.001,11.0,0.99978,0.0035114,0.00043892,Brehmer2022,FAME,,
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,Rxi17SilMS,-103.65,4.3108,15717.0,321.02,12.732,0.59098,268.05,0.05787,33.184,0.10297,105.86,4.9137,-73387.0,228.26,-89.692,0.42101,-92235.0,904.28,-131.93,2.0052,90.0,0.001,13.0,0.99999,0.00012243,1.2243e-5,Brehmer2022,FAME,,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,Rxi17SilMS,-89.542,3.7772,14550.0,280.39,10.825,0.51806,266.3,0.043514,33.408,0.087171,90.0,4.3074,-72424.0,189.34,-88.349,0.35048,-88291.0,782.69,-123.96,1.7403,90.0,0.001,11.0,1.0,6.0113e-5,7.5142e-6,Brehmer2022,FAME,,
Methyl tricosanoate,2433-97-8,Rxi17SilMS,-119.47,5.8836,17883.0,451.43,14.703,0.80291,286.49,0.085903,32.44,0.14517,122.25,6.6757,-80274.0,360.07,-97.529,0.64226,-104300.0,1360.5,-150.4,2.9579,90.0,0.001,11.0,0.99999,0.00012543,1.5679e-5,Brehmer2022,FAME,FAMEs,
"cis-13,16-Docosadienoic acid methyl ester",61012-47-3,Rxi17SilMS,-107.85,5.1974,16645.0,395.69,13.195,0.7101,281.68,0.074343,33.017,0.12964,109.71,5.9041,-77521.0,305.09,-93.813,0.54892,-98550.0,1172.3,-140.31,2.5621,90.0,0.001,12.0,0.99999,0.00014562,1.618e-5,Brehmer2022,FAME,,
Methyl lignocerate,2442-49-1,Rxi17SilMS,-124.28,4.077,18551.0,316.54,15.312,0.55534,294.06,0.064256,32.608,0.10265,127.31,4.6173,-82033.0,258.91,-98.718,0.45558,-108010.0,977.32,-155.49,2.1089,90.0,0.001,11.0,1.0,8.5352e-5,1.0669e-5,Brehmer2022,FAME,,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",2734-47-6,Rxi17SilMS,-97.417,8.6613,15133.0,646.26,11.919,1.187,269.34,0.10792,33.956,0.21325,99.1,9.8695,-72060.0,453.46,-86.925,0.83462,-89833.0,1827.4,-126.7,4.0483,90.0,0.001,8.0,0.99999,8.4158e-5,1.6832e-5,Brehmer2022,FAME,,
Methyl nervonate,2733-88-2,Rxi17SilMS,-100.43,8.7876,16710.0,681.76,12.069,1.1968,295.09,0.071955,32.775,0.16039,100.34,9.9504,-81914.0,401.4,-98.246,0.70568,-102490.0,2079.9,-143.17,4.5107,90.0,0.001,8.0,0.99999,5.7693e-5,1.1539e-5,Brehmer2022,FAME,,
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",301-01-9,Rxi17SilMS,-92.35,4.3355,15425.0,332.79,11.112,0.59163,286.53,0.064389,34.026,0.12256,92.392,4.9191,-76542.0,276.26,-90.853,0.49285,-94700.0,1005.6,-130.82,2.1842,90.0,0.001,8.0,1.0,3.8313e-5,7.6626e-6,Brehmer2022,FAME,,
Methyl butyrate,623-42-7,Rxi5SilMS,-45.888,1.9865,5794.4,100.71,5.793,0.29047,69.687,0.096275,30.863,0.11949,48.166,2.4151,-31664.0,123.87,-52.214,0.35851,-30686.0,133.93,-49.441,0.38566,90.0,0.002,15.0,0.99997,0.00042348,3.529e-5,Brehmer2022,FAME,FAMEs,
Methyl hexanoate,106-70-7,Rxi5SilMS,-62.741,1.338,7648.9,74.699,8.0258,0.19224,114.38,0.054827,33.089,0.037899,66.73,1.5983,-37737.0,44.523,-57.233,0.11238,-39364.0,59.935,-61.569,0.15416,90.0,0.002,15.0,0.99999,0.00023819,1.9849e-5,Brehmer2022,FAME,FAMEs,
Methyl octanoate,111-11-5,Rxi5SilMS,-72.661,1.2649,9113.3,76.422,9.262,0.17934,152.12,0.044406,34.951,0.031331,77.008,1.4911,-43023.0,39.6,-61.022,0.091302,-47806.0,101.1,-73.181,0.253,90.0,0.002,15.0,0.99999,0.00014638,1.2198e-5,Brehmer2022,FAME,FAMEs,
Methyl decanoate,110-42-9,Rxi5SilMS,-103.76,2.7442,11833.0,176.71,13.506,0.38502,184.95,0.12915,37.17,0.063643,112.3,3.2012,-46942.0,84.621,-62.327,0.17782,-57605.0,317.06,-88.411,0.76638,90.0,0.002,17.0,0.99997,0.001235,8.8211e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl undecanoate,1731-86-8,Rxi5SilMS,-108.54,2.2572,12578.0,149.4,14.09,0.31528,199.88,0.090555,37.844,0.052521,117.15,2.6214,-49160.0,70.776,-63.782,0.1456,-62032.0,297.46,-94.749,0.70904,90.0,0.002,16.0,0.99998,0.00053845,4.1419e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl laurate,111-82-0,Rxi5SilMS,-113.55,1.9183,13337.0,130.23,14.704,0.26685,213.8,0.061848,38.388,0.051766,122.25,2.2187,-51358.0,70.474,-65.324,0.14285,-66493.0,284.03,-101.19,0.66685,90.0,0.002,16.0,0.99999,0.00028665,2.205e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl tridecanoate,1731-88-0,Rxi5SilMS,-117.86,2.0628,14042.0,143.28,15.224,0.2859,227.01,0.047707,38.917,0.053933,126.58,2.3771,-53446.0,74.767,-66.713,0.14844,-70788.0,334.39,-107.23,0.77552,90.0,0.002,14.0,0.99999,0.00012889,1.1718e-5,Brehmer2022,FAME,FAMEs,
Methyl myristate,124-10-7,Rxi5SilMS,-119.18,1.5359,14543.0,109.04,15.328,0.21215,239.49,0.028975,39.31,0.04594,127.44,1.7639,-55585.0,65.263,-68.285,0.12687,-74637.0,271.75,-112.22,0.62131,90.0,0.002,12.0,1.0,3.4254e-5,3.806e-6,Brehmer2022,FAME,FAMEs,
Methyl myristoleate,92857-33-5,Rxi5SilMS,-114.23,2.4985,14119.0,177.13,14.664,0.34518,238.66,0.048191,39.609,0.07558,121.93,2.87,-54988.0,105.43,-67.292,0.20525,-73114.0,439.68,-109.13,1.0062,90.0,0.002,13.0,0.99999,0.00011228,1.1228e-5,Brehmer2022,FAME,,
Methyl pentadecanoate,7132-64-1,Rxi5SilMS,-129.54,2.9314,15637.0,212.2,16.696,0.40362,251.37,0.062665,39.992,0.082419,138.82,3.3559,-57199.0,118.67,-68.905,0.22512,-79600.0,554.67,-119.94,1.2545,90.0,0.002,14.0,0.99999,0.00021841,1.9855e-5,Brehmer2022,FAME,FAMEs,
Methyl cis-10-pentadecenoate,90176-52-6,Rxi5SilMS,-115.25,1.4648,14586.0,106.02,14.731,0.20172,250.6,0.023562,39.928,0.051054,122.48,1.6772,-57123.0,73.222,-68.92,0.13954,-76794.0,279.2,-113.77,0.6299,90.0,0.002,10.0,1.0,1.4475e-5,2.0678e-6,Brehmer2022,FAME,,
Methyl palmitate,112-39-0,Rxi5SilMS,-128.57,4.2463,15975.0,313.42,16.483,0.58297,262.53,0.073189,40.158,0.14841,137.05,4.8471,-59412.0,220.16,-70.764,0.41016,-83058.0,865.03,-124.04,1.9286,90.0,0.002,12.0,0.99999,0.00016933,1.8815e-5,Brehmer2022,FAME,FAMEs,
Methyl palmitoleate,10030-74-7,Rxi5SilMS,-131.17,5.1582,16008.0,379.56,16.883,0.70841,261.19,0.094659,40.871,0.16171,140.38,5.89,-58084.0,230.74,-68.558,0.43053,-82116.0,1034.8,-122.77,2.3156,90.0,0.002,13.0,0.99998,0.0004025,4.025e-5,Brehmer2022,FAME,,
Methyl heptadecanoate,1731-92-6,Rxi5SilMS,-133.82,5.2375,16727.0,393.2,17.139,0.7171,273.21,0.088569,40.542,0.18141,142.5,5.9623,-61219.0,274.65,-71.904,0.50171,-87327.0,1126.7,-130.11,2.4868,90.0,0.002,12.0,0.99998,0.00023751,2.639e-5,Brehmer2022,FAME,FAMEs,
cis-10-Heptadecanoic acid methyl ester,75190-82-8,Rxi5SilMS,-131.1,6.0439,16394.0,452.74,16.8,0.82776,271.96,0.1011,41.065,0.20897,139.68,6.8824,-60163.0,306.97,-70.223,0.56202,-85579.0,1289.7,-126.96,2.8517,90.0,0.002,12.0,0.99998,0.00031647,3.5164e-5,Brehmer2022,FAME,,
Methyl stearate,112-61-8,Rxi5SilMS,-132.1,8.6169,16993.0,658.25,16.829,1.1768,283.27,0.17556,40.583,0.35511,139.93,9.7846,-63431.0,556.47,-73.853,0.99815,-90474.0,1971.9,-133.56,4.2934,90.0,0.002,10.0,0.99998,0.00019621,2.803e-5,Brehmer2022,FAME,FAMEs,
trans-9-Elaidic acid methyl ester,1937-62-8,Rxi5SilMS,-125.62,4.6439,16367.0,353.17,15.976,0.63449,281.7,0.074179,41.033,0.1526,132.83,5.2755,-62381.0,232.6,-72.284,0.4184,-87844.0,1037.9,-128.59,2.2752,90.0,0.002,12.0,0.99999,0.00017257,1.9174e-5,Brehmer2022,FAME,,
cis-9-Oleic acid methyl ester,112-62-9,Rxi5SilMS,-132.2,7.0662,16898.0,537.39,16.866,0.96544,281.7,0.11233,40.832,0.23018,140.23,8.0272,-62689.0,354.32,-72.839,0.63734,-89573.0,1579.4,-132.28,3.4621,90.0,0.002,12.0,0.99997,0.00039955,4.4394e-5,Brehmer2022,FAME,,
Methyl linolelaidate,2566-97-4,Rxi5SilMS,-225.36,45.629,23622.0,3465.7,29.689,6.2354,280.89,0.75001,42.795,1.6311,246.85,51.844,-59638.0,2278.9,-67.498,4.1054,-106760.0,10160.0,-171.77,22.286,90.0,0.002,12.0,0.99881,0.016667,0.0018518,Brehmer2022,FAME,,
Methyl linoleate,112-63-0,Rxi5SilMS,-134.86,5.0503,17064.0,383.73,17.238,0.69011,281.17,0.07973,40.921,0.16335,143.33,5.7379,-62431.0,249.86,-72.483,0.44988,-89831.0,1125.2,-133.1,2.4682,90.0,0.002,12.0,0.99998,0.00020415,2.2683e-5,Brehmer2022,FAME,,
Methyl arachidate,1120-28-1,Rxi5SilMS,-141.93,4.8626,18430.0,383.2,18.053,0.66102,302.28,0.13674,41.176,0.23539,150.1,5.4961,-66863.0,383.55,-76.051,0.66483,-98727.0,1228.9,-145.14,2.6164,90.0,0.002,12.0,0.99999,0.0001873,2.0812e-5,Brehmer2022,FAME,FAMEs,
Gamma-Methyl linolenate,16326-32-2,Rxi5SilMS,-121.57,5.3304,16025.0,405.83,15.435,0.72817,282.36,0.086979,41.422,0.18102,128.34,6.0543,-61943.0,271.4,-71.361,0.48762,-86630.0,1196.1,-125.91,2.6195,90.0,0.002,12.0,0.99998,0.00022729,2.5254e-5,Brehmer2022,FAME,,
Methyl cis-11-eicosenoate,2390-09-2,Rxi5SilMS,-129.32,6.1236,17368.0,481.78,16.353,0.83276,300.65,0.19193,41.238,0.31468,135.97,6.9239,-66384.0,508.52,-75.546,0.88368,-95026.0,1545.6,-137.75,3.2893,90.0,0.002,11.0,0.99999,0.00017632,2.204e-5,Brehmer2022,FAME,,
Alpha-Methyl linolenate,301-00-8,Rxi5SilMS,-116.78,5.0879,15600.0,385.91,14.79,0.69542,280.16,0.079765,41.277,0.16323,122.97,5.7821,-61668.0,244.52,-71.308,0.44104,-85051.0,1126.6,-123.09,2.4746,90.0,0.002,12.0,0.99998,0.0002073,2.3034e-5,Brehmer2022,FAME,,
Methyl heneicosanoate,6064-90-0,Rxi5SilMS,-146.26,5.8922,19113.0,470.79,18.582,0.79934,311.09,0.17987,41.342,0.29539,154.5,6.6461,-68648.0,492.31,-77.355,0.84032,-102810.0,1550.7,-150.82,3.2709,90.0,0.002,11.0,0.99999,0.00015011,1.8764e-5,Brehmer2022,FAME,FAMEs,
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,Rxi5SilMS,-125.3,7.1722,17035.0,564.75,15.811,0.97539,300.46,0.25633,41.306,0.39473,131.46,8.1098,-66230.0,635.68,-75.317,1.1046,-93897.0,1822.7,-135.41,3.8695,90.0,0.002,9.0,0.99999,0.00010852,1.8087e-5,Brehmer2022,FAME,,
Methyl behenate,929-77-1,Rxi5SilMS,-155.61,6.407,20158.0,518.8,19.802,0.86744,319.69,0.21409,41.75,0.33599,164.65,7.2123,-69993.0,565.55,-77.918,0.9511,-107810.0,1751.9,-158.61,3.6617,90.0,0.002,10.0,0.99999,9.0945e-5,1.2992e-5,Brehmer2022,FAME,FAMEs,
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,Rxi5SilMS,-134.15,8.3111,17530.0,652.88,17.066,1.1305,299.69,0.25618,42.32,0.44825,141.89,9.3995,-64468.0,685.27,-72.398,1.1931,-94221.0,2088.0,-137.07,4.4484,90.0,0.002,10.0,0.99998,0.00026568,3.7954e-5,Brehmer2022,FAME,,
Methyl erucate,1120-34-9,Rxi5SilMS,-142.81,5.9973,19054.0,485.33,18.084,0.8122,318.33,0.23495,41.861,0.34135,150.36,6.753,-69486.0,569.29,-77.334,0.9591,-103820.0,1645.2,-150.68,3.4323,90.0,0.002,10.0,0.99999,0.00013561,1.9373e-5,Brehmer2022,FAME,,
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,Rxi5SilMS,-132.72,6.0846,17553.0,479.58,16.841,0.82725,301.65,0.20008,41.97,0.32928,140.03,6.8781,-65453.0,515.54,-73.726,0.89427,-95090.0,1545.4,-138.03,3.2836,90.0,0.002,11.0,0.99999,0.00017399,2.1749e-5,Brehmer2022,FAME,,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,Rxi5SilMS,-123.69,5.6289,16678.0,441.04,15.648,0.7659,298.42,0.16635,42.24,0.29013,130.1,6.3681,-64306.0,443.27,-72.362,0.77345,-91423.0,1400.1,-131.37,2.9908,90.0,0.002,10.0,0.99999,0.00012622,1.8031e-5,Brehmer2022,FAME,,
Methyl tricosanoate,2433-97-8,Rxi5SilMS,-165.19,7.9055,21218.0,648.38,21.054,1.0683,328.03,0.28845,42.222,0.43371,175.06,8.8823,-71172.0,734.27,-78.242,1.2174,-112840.0,2240.2,-166.48,4.6417,90.0,0.002,9.0,0.99999,6.6182e-5,1.103e-5,Brehmer2022,FAME,FAMEs,
"cis-13,16-Docosadienoic acid methyl ester",61012-47-3,Rxi5SilMS,-137.78,10.022,18653.0,810.72,17.402,1.3573,318.19,0.38087,41.814,0.56454,144.69,11.285,-69532.0,943.03,-77.439,1.5893,-102550.0,2744.8,-147.99,5.7293,90.0,0.002,11.0,0.99997,0.00043283,5.4103e-5,Brehmer2022,FAME,,
Methyl lignocerate,2442-49-1,Rxi5SilMS,-166.05,8.1524,21629.0,677.83,21.112,1.0997,335.89,0.36812,42.292,0.49556,175.53,9.1431,-72923.0,859.01,-79.589,1.4049,-116080.0,2409.9,-170.35,4.9346,90.0,0.002,9.0,0.99999,7.0127e-5,1.1688e-5,Brehmer2022,FAME,,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",2734-47-6,Rxi5SilMS,-124.84,6.0833,16762.0,477.44,15.809,0.82755,299.28,0.18825,42.49,0.32524,131.45,6.8806,-64120.0,492.61,-71.868,0.85819,-91629.0,1522.8,-131.69,3.2474,90.0,0.002,11.0,0.99999,0.00017412,2.1765e-5,Brehmer2022,FAME,,
Methyl nervonate,2733-88-2,Rxi5SilMS,-160.25,8.1817,21039.0,678.99,20.354,1.1039,334.85,0.36294,42.664,0.49888,169.23,9.1782,-72040.0,846.75,-78.342,1.3873,-113480.0,2404.5,-165.56,4.9317,90.0,0.002,9.0,0.99999,7.0665e-5,1.1778e-5,Brehmer2022,FAME,,
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",301-01-9,Rxi5SilMS,-139.33,6.587,18441.0,530.15,17.693,0.89253,316.22,0.20545,43.35,0.35296,147.11,7.4209,-66624.0,544.45,-72.897,0.92125,-99904.0,1765.9,-144.13,3.7107,90.0,0.002,10.0,0.99999,9.6282e-5,1.3755e-5,Brehmer2022,FAME,,
Methyl butyrate,623-42-7,Rxi5SilMS,-73.265,2.0215,7037.0,98.262,9.8742,0.29797,51.217,0.13107,27.442,0.12279,82.099,2.4775,-31878.0,144.95,-52.371,0.44156,-28694.0,175.82,-43.099,0.52631,90.0,0.001,10.0,0.99998,0.00013924,1.9891e-5,Brehmer2022,FAME,FAMEs,
Methyl hexanoate,106-70-7,Rxi5SilMS,-66.411,3.9468,7732.9,211.57,8.6172,0.5713,94.594,0.15498,29.631,0.15872,71.647,4.7501,-37947.0,205.76,-57.281,0.55444,-38276.0,208.92,-58.181,0.56081,90.0,0.001,17.0,0.99988,0.0032815,0.00023439,Brehmer2022,FAME,FAMEs,
Methyl octanoate,111-11-5,Rxi5SilMS,-66.163,3.0733,8697.6,178.15,8.3594,0.43886,131.24,0.17132,30.755,0.082942,69.504,3.6489,-44209.0,124.97,-63.417,0.29845,-47076.0,198.23,-70.892,0.49669,90.0,0.001,20.0,0.99992,0.004679,0.00027523,Brehmer2022,FAME,FAMEs,
Methyl decanoate,110-42-9,Rxi5SilMS,-74.301,2.2915,10053.0,141.34,9.3389,0.32378,162.64,0.086905,31.742,0.040275,77.648,2.6921,-49746.0,66.164,-68.243,0.14662,-55387.0,207.21,-82.402,0.51325,90.0,0.001,17.0,0.99998,0.00078561,5.6115e-5,Brehmer2022,FAME,Grob,FAMEs
Methyl undecanoate,1731-86-8,Rxi5SilMS,-70.915,5.1161,10290.0,324.51,8.7697,0.71957,177.03,0.2038,31.956,0.089948,72.916,5.9829,-52729.0,155.91,-71.221,0.33392,-59074.0,545.02,-86.885,1.3297,90.0,0.001,18.0,0.9999,0.0048358,0.00032239,Brehmer2022,FAME,Grob,FAMEs
Methyl laurate,111-82-0,Rxi5SilMS,-68.274,5.5078,10523.0,358.28,8.3238,0.77147,190.51,0.20988,32.263,0.091007,69.208,6.4144,-55401.0,164.12,-73.579,0.34135,-62357.0,666.5,-90.488,1.6053,90.0,0.001,18.0,0.99989,0.0050664,0.00033776,Brehmer2022,FAME,Grob,FAMEs
