Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
2-Methylphenol,95-48-7,7,8,1,0,1,108.13782,Rxi17SilMS,126.96,31.703,99.547,0.001,Brehmer2022
Phenyl acetate,122-79-2,8,8,2,0,1,136.14792,Rxi17SilMS,130.06,30.902,95.94,0.001,Brehmer2022
3-Methylphenol,108-39-4,7,8,1,0,1,108.13782,Rxi17SilMS,130.37,31.593,96.071,0.001,Brehmer2022
4-Methylphenol,106-44-5,7,8,1,0,1,108.13782,Rxi17SilMS,130.58,31.808,101.45,0.001,Brehmer2022
1-Phenyl ethanol,98-85-1,8,10,1,0,1,122.1644,Rxi17SilMS,130.84,31.907,94.451,0.001,Brehmer2022
Nonanol,143-8-8,9,20,1,0,0,144.2545,Rxi17SilMS,133.6,32.935,165.13,0.001,Brehmer2022
Acetophenone,98-86-2,8,8,1,0,1,120.14852,Rxi17SilMS,135.77,32.483,89.831,0.001,Brehmer2022
Methyl benzoate,93-58-3,8,8,2,0,1,136.14792,Rxi17SilMS,136.74,32.209,89.138,0.001,Brehmer2022
"2,6-Dimethylphenol",576-26-1,8,10,1,0,1,122.1644,Rxi17SilMS,138.07,32.804,91.757,0.001,Brehmer2022
2-Decanone,693-54-9,10,20,1,0,0,156.2652,Rxi17SilMS,139.58,33.934,177.88,0.001,Brehmer2022
Nitrobenzene,98-95-3,6,5,2,1,1,123.1094,Rxi17SilMS,142.41,33.845,78.903,0.001,Brehmer2022
1-Phenyl-2-propanol,698-87-3,9,12,1,0,1,136.19098,Rxi17SilMS,142.5,32.777,94.087,0.001,Brehmer2022
"3,5-Dimethylphenol",108-68-9,8,10,1,0,1,122.1644,Rxi17SilMS,146.21,32.446,100.42,0.001,Brehmer2022
2-Nitrophenol,88-75-5,6,5,3,1,1,139.1088,Rxi17SilMS,147.83,34.336,84.424,0.001,Brehmer2022
Decanol,112-30-1,10,22,1,0,0,158.28108,Rxi17SilMS,149.1,33.298,159.25,0.001,Brehmer2022
2-Chloroaniline,95-51-2,6,6,0,1,1,127.57154,Rxi17SilMS,149.33,34.452,85.919,0.001,Brehmer2022
Methyl decanoate,110-42-9,11,22,2,0,0,186.29118,Rxi17SilMS,152.75,29.945,116.14,0.001,Brehmer2022
2-Undecanone,112-12-9,11,22,1,0,0,170.29178,Rxi17SilMS,154.13,34.483,204.75,0.001,Brehmer2022
Propiophenone,93-55-0,9,10,1,0,1,134.1751,Rxi17SilMS,154.16,36.408,132.02,0.001,Brehmer2022
Undecanol,112-42-5,11,24,1,0,0,172.30766,Rxi17SilMS,163.77,34.15,172.93,0.001,Brehmer2022
Butyrophenone,495-40-9,10,12,1,0,1,148.20168,Rxi17SilMS,166.13,36.616,130.14,0.001,Brehmer2022
Methyl undecanoate,1731-86-8,12,24,2,0,0,200.31776,Rxi17SilMS,166.41,30.466,120.23,0.001,Brehmer2022
2-Dodecanone,6175-49-1,12,24,1,0,0,184.31836,Rxi17SilMS,168.17,34.454,182.67,0.001,Brehmer2022
Dodecanol,112-53-8,12,26,1,0,0,186.33424,Rxi17SilMS,177.53,34.954,178.63,0.001,Brehmer2022
Methyl laurate,111-82-0,13,26,2,0,0,214.34434,Rxi17SilMS,179.4,30.899,118.02,0.001,Brehmer2022
Valerophenone,1009-14-9,11,14,1,0,1,162.22826,Rxi17SilMS,180.35,37.085,139.82,0.001,Brehmer2022
2-Tridecanone,593-8-8,13,26,1,0,0,198.34494,Rxi17SilMS,181.47,34.737,178.69,0.001,Brehmer2022
Methyl tridecanoate,1731-88-0,14,28,2,0,0,228.37092,Rxi17SilMS,191.67,31.201,116.79,0.001,Brehmer2022
Hexanophenone,942-92-7,12,16,1,0,1,176.25484,Rxi17SilMS,193.72,37.169,136.76,0.001,Brehmer2022
Methyl myristate,124-10-7,15,30,2,0,0,242.3975,Rxi17SilMS,203.33,31.477,116.26,0.001,Brehmer2022
Methyl myristoleate,92857-33-5,15,28,2,0,0,240.38162,Rxi17SilMS,205.38,31.75,104.8,0.001,Brehmer2022
2-Pentadecanone,2345-28-0,15,30,1,0,0,226.3981,Rxi17SilMS,205.93,35.2,177.09,0.001,Brehmer2022
Heptanophenone,1671-75-6,13,18,1,0,1,190.28142,Rxi17SilMS,206.14,37.092,133.77,0.001,Brehmer2022
Methyl pentadecanoate,7132-64-1,16,32,2,0,0,256.42408,Rxi17SilMS,214.28,31.498,109.4,0.001,Brehmer2022
Methyl cis-10-pentadecenoate,90176-52-6,16,30,2,0,0,254.41,Rxi17SilMS,216.4,31.955,105.78,0.001,Brehmer2022
Octanophenone,1674-37-9,14,20,1,0,1,204.308,Rxi17SilMS,217.92,36.987,133.13,0.001,Brehmer2022
Methyl palmitate,112-39-0,17,34,2,0,0,270.45066,Rxi17SilMS,224.78,31.705,111.82,0.001,Brehmer2022
Methyl palmitoleate,10030-74-7,17,32,2,0,0,268.43478,Rxi17SilMS,225.98,32.136,106.3,0.001,Brehmer2022
Methyl heptadecanoate,1731-92-6,18,36,2,0,0,284.47724,Rxi17SilMS,234.82,31.932,116.42,0.001,Brehmer2022
cis-10-Heptadecenoic acid methyl ester,75190-82-8,18,34,2,0,0,282.5,Rxi17SilMS,236.03,32.316,107.78,0.001,Brehmer2022
Methyl stearate,112-61-8,19,38,2,0,0,298.50382,Rxi17SilMS,244.82,32.384,119.61,0.001,Brehmer2022
cis-9-Oleic acid methyl ester,112-62-9,19,36,2,0,0,296.48794,Rxi17SilMS,245.31,32.324,115.33,0.001,Brehmer2022
trans-9-Elaidic acid methyl ester,1937-62-8,19,36,2,0,0,296.48794,Rxi17SilMS,245.35,32.806,121.27,0.001,Brehmer2022
Methyl linolelaidate,2566-97-4,19,34,2,0,0,294.47206,Rxi17SilMS,247.19,32.817,108.96,0.001,Brehmer2022
Methyl linoleate,112-63-0,19,34,2,0,0,294.47206,Rxi17SilMS,247.54,31.979,102.34,0.001,Brehmer2022
Methyl gamma linolenate,132029-16-4,19,32,2,0,0,292.45618,Rxi17SilMS,247.93,33.017,100.91,0.001,Brehmer2022
Methyl alpha linolenate,301-0-8,19,32,2,0,0,292.45618,Rxi17SilMS,250.18,33.027,106.15,0.001,Brehmer2022
PCB 28,7012-37-5,12,7,0,0,2,257.54298,Rxi17SilMS,257.18,44.513,173.01,0.001,Brehmer2022
Methyl arachidate,1120-28-1,21,42,2,0,0,326.55698,Rxi17SilMS,262.19,32.166,116.13,0.001,Brehmer2022
Methyl cis-11-eicosenoate,2390-9-2,21,40,2,0,0,324.5411,Rxi17SilMS,263.07,32.798,118.95,0.001,Brehmer2022
PCB 52,35693-99-3,12,6,0,0,2,291.98804,Rxi17SilMS,263.82,45.906,218.95,0.001,Brehmer2022
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,21,38,2,0,0,322.5,Rxi17SilMS,265.13,32.894,104.53,0.001,Brehmer2022
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,21,36,2,0,0,320.5,Rxi17SilMS,265.89,33.318,103.97,0.001,Brehmer2022
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,20,32,2,0,0,304.46688,Rxi17SilMS,266.29,33.502,94.808,0.001,Brehmer2022
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,21,36,2,0,0,320.50934,Rxi17SilMS,268.05,33.184,105.86,0.001,Brehmer2022
